run_id,execution_time_seconds
1,0.00028881799994451285
2,0.000585122000074989
3,9.857700001703051e-05
4,7.047799999782e-05
5,6.21240001237311e-05
6,5.983699998068914e-05
7,5.2272000175435096e-05
8,3.8759000062782434e-05
9,5.126899986862554e-05
10,4.54759999684029e-05
11,7.035699991320143e-05
12,6.055099993318436e-05
13,6.1026000139463576e-05
14,4.9038000042855856e-05
15,3.780899987759767e-05
16,5.578300010711246e-05
17,5.3965000006428454e-05
18,3.839800001514959e-05
19,3.587099990909337e-05
20,4.201299998385366e-05
